"","id","neighbourhood","price","latitude","longitude","currency"
"314",15127147,"Barcelona",11,41.42246,2.20198,"$"
"315",15157600,"Barcelona",45,41.41379,2.18621,"$"
"316",15281578,"Barcelona",21,41.37999,2.17707,"$"
"317",15287684,"Barcelona",16,41.37306,2.16461,"$"
"318",15326164,"Barcelona",26,41.40453,2.17947,"$"
"319",15406539,"Barcelona",50,41.42303,2.18846,"$"
"320",15433891,"Barcelona",40,41.40474,2.203,"$"
"321",15445245,"Barcelona",40,41.39869,2.14437,"$"
"322",15514360,"Barcelona",48,41.41725,2.17285,"$"
"323",15531084,"Barcelona",28,41.36795,2.13361,"$"
"324",15539600,"Barcelona",17,41.40577,2.1723,"$"
"325",15593934,"Barcelona",28,41.38312,2.16365,"$"
"326",15619144,"Barcelona",46,41.3804,2.17896,"$"
"327",15740354,"Barcelona",46,41.3804,2.17896,"$"
"328",15763812,"Barcelona",38,41.37271,2.15723,"$"
"329",15780938,"Barcelona",33,41.43214,2.17122,"$"
"330",15800817,"Barcelona",40,41.38387,2.18262,"$"
"331",15812792,"Barcelona",28,41.39212,2.17764,"$"
"332",15824132,"Barcelona",38,41.39374,2.18044,"$"
"333",15939147,"Barcelona",50,41.37756,2.17324,"$"
"334",15970599,"Barcelona",29,41.40167,2.15737,"$"
"335",16006518,"Barcelona",47,41.39086,2.15055,"$"
"336",16159586,"Barcelona",38,41.41143,2.18474,"$"
"337",16246840,"Barcelona",26,41.41083,2.18878,"$"
"338",16351351,"Barcelona",40,41.37337,2.15524,"$"
"339",16503468,"Barcelona",50,41.41261,2.17872,"$"
"340",16552543,"Barcelona",20,41.37291,2.16604,"$"
"341",16563363,"Barcelona",43,41.37888,2.16336,"$"
"342",16591842,"Barcelona",19,41.42288,2.19705,"$"
"343",16713859,"Barcelona",31,41.38079,2.16171,"$"
"344",16737061,"Barcelona",49,41.38001,2.14552,"$"
"345",16751577,"Barcelona",27,41.37512,2.14231,"$"
"346",16762460,"Barcelona",43,41.3809,2.17544,"$"
"347",16780481,"Barcelona",20,41.38049,2.17344,"$"
"348",16786316,"Barcelona",16,41.4065,2.15224,"$"
"349",16787266,"Barcelona",26,41.38137,2.15308,"$"
"350",16788998,"Barcelona",18,41.4077,2.15363,"$"
"351",16789407,"Barcelona",23,41.39914,2.16722,"$"
"352",16952176,"Barcelona",36,41.37093,2.16323,"$"
"353",16991792,"Barcelona",18,41.3791,2.17473,"$"
"354",17027977,"Barcelona",20,41.37674,2.11896,"$"
"355",17032982,"Barcelona",39,41.38767,2.17329,"$"
"356",17034595,"Barcelona",16,41.39371,2.19103,"$"
"357",17107557,"Barcelona",30,41.37229,2.16329,"$"
"358",17148874,"Barcelona",38,41.37162,2.16341,"$"
"359",17355163,"Barcelona",40,41.38062,2.15798,"$"
"360",17445731,"Barcelona",50,41.37864,2.1456,"$"
"361",17491259,"Barcelona",27,41.37397,2.155825,"$"
"362",17573977,"Barcelona",14,41.40492,2.18111,"$"
"363",17629484,"Barcelona",45,41.37539,2.15365,"$"
"364",17818035,"Barcelona",25,41.37243,2.15508,"$"
"365",17855356,"Barcelona",40,41.38013,2.16471,"$"
"366",17939993,"Barcelona",39,41.4369,2.15756,"$"
"367",17974912,"Barcelona",43,41.44439,2.17387,"$"
"368",18072457,"Barcelona",33,41.37642,2.1667,"$"
"369",18073605,"Barcelona",27,41.37633,2.16777,"$"
"370",18118797,"Barcelona",34,41.38525,2.18206,"$"
"371",18219254,"Barcelona",11,41.40478,2.1802,"$"
"372",18222497,"Barcelona",15,41.38099,2.1515,"$"
"373",18224937,"Barcelona",18,41.37906,2.17342,"$"
"374",18283499,"Barcelona",38,41.40994,2.18304,"$"
"375",18290516,"Barcelona",19,41.42112,2.17651,"$"
"376",18341183,"Barcelona",48,41.42433,2.15425,"$"
"377",18461094,"Barcelona",36,41.4055,2.18545,"$"
"378",18540745,"Barcelona",49,41.40197,2.21052,"$"
"379",18590075,"Barcelona",46,41.4243,2.15569,"$"
"380",18614267,"Barcelona",50,41.38472,2.14499,"$"
"381",18672411,"Barcelona",45,41.40616,2.20382,"$"
"382",18730346,"Barcelona",13,41.37359,2.1615,"$"
"383",18742578,"Barcelona",35,41.37381,2.15619,"$"
"384",18762844,"Barcelona",44,41.40814,2.2038,"$"
"385",18766588,"Barcelona",35,41.38587,2.17192,"$"
"386",18782103,"Barcelona",36,41.41028,2.15073,"$"
"387",18782971,"Barcelona",46,41.41028,2.15073,"$"
"388",18798761,"Barcelona",44,41.40254,2.17486,"$"
"389",18860645,"Barcelona",30,41.38794,2.17728,"$"
"390",18869678,"Barcelona",50,41.3779,2.13618,"$"
"391",18913927,"Barcelona",27,41.37881,2.19096,"$"
"392",18922636,"Barcelona",25,41.42397,2.15864,"$"
"393",18940022,"Barcelona",40,41.41028,2.15073,"$"
"394",18945183,"Barcelona",42,41.37835,2.16275,"$"
"395",18965133,"Barcelona",40,41.40483,2.19718,"$"
"396",18966468,"Barcelona",31,41.36956,2.133,"$"
"397",18974635,"Barcelona",30,41.41401,2.16435,"$"
"398",19001987,"Barcelona",40,41.40611,2.17062,"$"
"399",19085526,"Barcelona",28,41.42956,2.18325,"$"
"400",19146144,"Barcelona",26,41.41363,2.16747,"$"
"401",19202677,"Barcelona",34,41.40147,2.16003,"$"
"402",19241182,"Barcelona",50,41.3796,2.13607,"$"
"403",19265548,"Barcelona",33,41.388611,2.157899,"$"
"404",19306107,"Barcelona",35,41.40408,2.15821,"$"
"405",19340732,"Barcelona",50,41.3744,2.13524,"$"
"406",19387279,"Barcelona",40,41.40644,2.17084,"$"
"407",19398656,"Barcelona",44,41.41823,2.19653,"$"
"408",19400577,"Barcelona",29,41.41083,2.17874,"$"
"409",19409047,"Barcelona",31,41.40243,2.2073,"$"
"410",19445324,"Barcelona",35,41.40604,2.1705,"$"
"411",19457160,"Barcelona",48,41.37761,2.16869,"$"
"412",19497191,"Barcelona",42,41.38741,2.17683,"$"
"413",19503834,"Barcelona",25,41.42502,2.14152,"$"
"414",19560672,"Barcelona",45,41.41724,2.20803,"$"
"415",19578157,"Barcelona",28,41.377,2.16112,"$"
"416",19609722,"Barcelona",13,41.3738,2.16171,"$"
"417",19668175,"Barcelona",30,41.39635,2.16776,"$"
"418",19691042,"Barcelona",35,41.40477,2.18336,"$"
"419",19695832,"Barcelona",35,41.40484,2.18317,"$"
"420",19733674,"Barcelona",27,41.37953,2.18959,"$"
"421",19743672,"Barcelona",28,41.38395,2.16776,"$"
"422",19744718,"Barcelona",39,41.38405,2.16766,"$"
"423",19780362,"Barcelona",41,41.39856,2.14978,"$"
"424",19780732,"Barcelona",35,41.38688,2.1733,"$"
"425",19803251,"Barcelona",30,41.37711,2.12787,"$"
"426",19828593,"Barcelona",41,41.38555,2.17776,"$"
"427",19841315,"Barcelona",40,41.37992,2.17396,"$"
"428",19841325,"Barcelona",42,41.36953,2.13459,"$"
"429",19868562,"Barcelona",25,41.39365,2.16914,"$"
"430",19870598,"Barcelona",21,41.3787,2.13774,"$"
"431",19965132,"Barcelona",37,41.39969,2.16908,"$"
"432",19974416,"Barcelona",36,41.38327,2.17053,"$"
"433",19983319,"Barcelona",20,41.37751,2.12272,"$"
"434",19983618,"Barcelona",21,41.37948,2.15473,"$"
"435",20013629,"Barcelona",50,41.40881,2.20736,"$"
"436",20018346,"Barcelona",50,41.43412,2.17302,"$"
"437",20022693,"Barcelona",46,41.37848,2.16511,"$"
"438",20052796,"Barcelona",50,41.41918,2.1453,"$"
"439",20129816,"Barcelona",40,41.3785,2.17745,"$"
"440",20143241,"Barcelona",35,41.3806,2.179816,"$"
"441",20185942,"Barcelona",50,41.37661,2.15439,"$"
"442",20206282,"Barcelona",28,41.42687,2.18833,"$"
"443",20212481,"Barcelona",27,41.42833,2.16396,"$"
"444",20244524,"Barcelona",38,41.38416,2.18336,"$"
"445",20262929,"Barcelona",21,41.37869,2.13775,"$"
"446",20266749,"Barcelona",45,41.41667,2.21263,"$"
"447",20316182,"Barcelona",47,41.41778,2.17783,"$"
"448",20388215,"Barcelona",26,41.41589,2.21527,"$"
"449",20478133,"Barcelona",45,41.43134,2.18261,"$"
"450",20548782,"Barcelona",36,41.37736,2.12766,"$"
"451",20556745,"Barcelona",40,41.36873,2.14193,"$"
"452",20604707,"Barcelona",30,41.43524,2.20401,"$"
"453",20627886,"Barcelona",50,41.40811,2.17555,"$"
"454",20696075,"Barcelona",42,41.38044,2.1761,"$"
"455",20734492,"Barcelona",26,41.40195,2.17023,"$"
"456",20735500,"Barcelona",40,41.41487,2.17917,"$"
"457",20753403,"Barcelona",45,41.40798,2.17658,"$"
"458",20753855,"Barcelona",45,41.37838,2.13277,"$"
"459",20766049,"Barcelona",38,41.41941,2.16984,"$"
"460",20800346,"Barcelona",47,41.38244,2.16821,"$"
"461",20800414,"Barcelona",36,41.41615,2.1863,"$"
"462",20840468,"Barcelona",46,41.42795,2.18041,"$"
"463",20848607,"Barcelona",42,41.40854,2.17564,"$"
"464",20883020,"Barcelona",25,41.41264,2.16912,"$"
